id,prompt,variables,created_at,updated_at,account_id,suggestion_label,subcategory_id
008c9e70-6c33-4cd7-af2d-90d5478e1dbb,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A woodland garden with a naturalistic setting, featuring ferns, wildflowers, and a variety of trees and shrubs. Direction details: A peaceful and immersive outdoor space with a focus on natural materials and a woodland atmosphere Price tier cues: Mid-range quality, quartz or laminate surfaces, semi-custom details.",,2026-03-20 21:02:33.720744+00,2026-03-30 16:45:25.682176+00,,,ee70f353-c48e-4bd9-bfc1-cf1b00291fa9
010dc5b3-470a-49ab-b2d6-1ab7070efc4f,"Luxury outdoor living space with sophisticated seating, elegant presentation, no text",,2025-10-13 05:02:36.339604+00,2026-03-30 16:50:05.965655+00,,,
0194ee9c-cec7-46aa-b51b-84cc9fa9c215,"Modern women's outerwear with contemporary styling, professional photography, no text",,2025-10-13 05:01:51.673535+00,2026-03-30 16:50:05.965655+00,,,
033a05ec-22b8-4026-b91d-415499ef2a45,"Fashionable jewelry with modern design, clean aesthetic, no text",,2025-10-13 05:01:54.227319+00,2026-03-30 16:50:05.965655+00,,,
037e45e6-99f4-40cf-884c-bc0ef73a0c50,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Shower Tile. Option: warm textured sandstone-look shower tile with natural softness.",,2026-03-23 18:53:06.724805+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
03c4574c-4f1d-48e6-9aee-8791ca807d54,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A coastal-themed landscape with a small beach, palm trees, and a wooden deck. Direction details: A relaxing and serene outdoor space inspired by the ocean Price tier cues: Luxury, bespoke finishes, marble, custom millwork, designer fixtures.",,2026-03-17 19:12:28.301171+00,2026-03-30 16:50:05.965655+00,,,
03da5c44-643a-4c9c-9eb6-95b41e20c1ba,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Vanity. Option: fluted oak vanity with premium contemporary texture.",,2026-03-23 18:52:58.996243+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
04797420-5483-4e18-abdc-d6678f31b74d,"Tropical garden with exotic plants, lush design, no text",,2025-10-13 05:02:35.605265+00,2026-03-30 16:50:05.965655+00,,,
04c3c654-8e09-47d0-a25c-cff76104b29d,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Pavers. Option: large-format light gray concrete pavers in a clean modern layout.",,2026-03-23 18:53:48.486097+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
0520d259-f39a-4608-917e-ce4f6a8630e3,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Countertops. Option: dark soapstone-look countertops with moody sophistication.",,2026-03-23 18:53:27.929747+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
